Customer ID,Age,Gender,Job,Annual Income,Account Creation Date,Last Login Time,Purchase Frequency,Average Purchase Price,Most Purchased Category,App Usage Frequency,Preferred Payment Method,Marketing Opt-In,Recent Purchase Date,Promotion Response,Preferred Brand
1,29,Female,Healthcare,34141,2022-08-10,2024-05-05 5:53,28,170.98,Luxury,2.02,Mobile,FALSE,2023-09-07,1,Gucci
2,56,Female,Services,113758,2022-12-02,2024-05-04 21:54,14,32.43,Kids,3.67,Credit Card,FALSE,2024-02-22,1,Gucci
3,65,Male,Finance,63664,2022-02-20,2024-05-08 2:29,20,430.29,Men's Clothing,4.54,Credit Card,FALSE,2024-03-17,0,Gucci
4,55,Female,Technology,172320,2021-02-12,2024-05-06 1:27,29,364.82,Sports,2.52,Credit Card,TRUE,2023-12-22,1,Double Flag
5,62,Female,Services,86148,2023-07-24,2024-05-05 4:02,7,38.4,Shoes,0.61,Mobile,TRUE,2024-04-26,0,Double Flag
6,63,Male,Healthcare,125373,2020-03-21,2024-05-03 16:35,25,204.05,Men's Clothing,1.86,Credit Card,TRUE,2023-05-21,0,Nike
7,24,Female,Education,171702,2020-12-15,2024-05-02 8:29,18,129.58,Bags/Accessories,2.55,Virtual Account,FALSE,2023-11-17,1,Gucci
8,35,Female,Services,166037,2019-07-22,2024-05-01 16:50,26,110.02,Sports,2.16,Virtual Account,FALSE,2024-02-26,1,Daks
9,34,Female,Technology,,2023-02-19,2024-05-06 21:28,22,162.98,Golf,0.14,Credit Card,FALSE,2023-10-29,1,Double Flag
10,63,Male,Education,171002,2022-08-23,2024-05-04 14:36,17,411.58,Shoes,3.86,Virtual Account,TRUE,2023-08-25,0,Gucci
11,69,Male,Services,115052,2020-02-03,2024-05-07 6:22,14,387.2,Beauty,4.42,Virtual Account,FALSE,2023-06-08,0,Nike
12,24,Female,Technology,67916,2022-05-16,2024-05-01 22:40,4,455.53,Women's Clothing,1.81,Virtual Account,TRUE,2024-01-08,0,Gucci
13,63,Female,Services,85539,2021-07-26,2024-05-01 8:37,0,112.77,Sports,3.91,Credit Card,TRUE,2023-05-11,0,Double Flag
14,65,Male,Services,197022,2020-07-07,2024-05-02 14:44,23,317.32,Shoes,0.92,Virtual Account,FALSE,2023-06-28,1,Gucci
15,19,Female,Services,163544,2019-08-03,2024-05-07 6:20,9,268.25,Golf,3.76,Mobile,TRUE,2024-04-01,1,Hazzys
16,41,Female,Finance,75492,2023-10-10,2024-05-07 4:54,15,272.62,Luxury,4.15,Virtual Account,TRUE,2023-07-12,1,Gucci
17,53,Male,Education,65732,2023-06-15,2024-05-06 14:20,7,364.39,Women's Clothing,0.49,Credit Card,TRUE,2023-06-15,1,Hazzys
